1263 [restartedMain] INFO  c.example.prac14.Prac14Application – Starting Prac14Application using Java 19.0.2 with PID 6860 (C:\Users\georn\Desktop\javaSpringWorks\practice\prac23\build\classes\java\main started by George in C:\Users\georn\Desktop\javaSpringWorks\practice\prac23)
1283 [restartedMain] INFO  c.example.prac14.Prac14Application – No active profile set, falling back to 1 default profile: "default"
1448 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor – Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
1451 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor – For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
3102 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Bootstrapping Spring Data JPA repositories in DEFAULT mode.
3230 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Finished Spring Data repository scanning in 111 ms. Found 1 JPA repository interfaces.
4885 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat initialized with port(s): 8080 (http)
4904 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol – Initializing ProtocolHandler ["http-nio-8080"]
4906 [restartedMain] INFO  o.a.catalina.core.StandardService – Starting service [Tomcat]
4907 [restartedMain] INFO  o.a.catalina.core.StandardEngine – Starting Servlet engine: [Apache Tomcat/10.1.7]
5032 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] – Initializing Spring embedded WebApplicationContext
5033 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext – Root WebApplicationContext: initialization completed in 3579 ms
5486 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper – HHH000204: Processing PersistenceUnitInfo [name: default]
5590 [restartedMain] INFO  org.hibernate.Version – HHH000412: Hibernate ORM core version 6.1.7.Final
6257 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Starting...
6858 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool – HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@20bbf73c
6863 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Start completed.
6987 [restartedMain] INFO  SQL dialect – HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
8759 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator – HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
8780 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Initialized JPA EntityManagerFactory for persistence unit 'default'
9634 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration – spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
10546 [restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain – Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4d745a1f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7030c342, org.springframework.security.web.context.SecurityContextHolderFilter@722e94f, org.springframework.security.web.header.HeaderWriterFilter@481600d3, org.springframework.security.web.authentication.logout.LogoutFilter@4db25aca, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@34b1391a, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@6615c046, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@224a8d99, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@37395b54, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@18d2628d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7177df64, org.springframework.security.web.access.ExceptionTranslationFilter@35912bd7, org.springframework.security.web.access.intercept.AuthorizationFilter@5d16b492]
11067 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer – LiveReload server is running on port 35729
11109 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol – Starting ProtocolHandler ["http-nio-8080"]
11149 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer – Tomcat started on port(s): 8080 (http) with context path ''
11174 [restartedMain] INFO  c.example.prac14.Prac14Application – Started Prac14Application in 10.572 seconds (process running for 13.609)
18495 [scheduling-1] INFO  com.example.prac14.Aspect – void com.example.prac14.service.ScheduleService.doTask() выполнен за 445мс
30091 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] – Initializing Spring DispatcherServlet 'dispatcherServlet'
30093 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet – Initializing Servlet 'dispatcherServlet'
30140 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet – Completed initialization in 47 ms
30770 [http-nio-8080-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase – Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [130] milliseconds.
78077 [scheduling-1] INFO  com.example.prac14.Aspect – void com.example.prac14.service.ScheduleService.doTask() выполнен за 35мс
123761 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Closing JPA EntityManagerFactory for persistence unit 'default'
123783 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Shutdown initiated...
123828 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource – HikariPool-1 - Shutdown completed.
